Id,Card,Card type,Monster type,Attribute,Type,Level,ATK,DEF 
6129,Dark Factory of Mass Production,Spell,,,,,,
6130,Hammer Shot,Spell,,,,,,
6131,Mind Wipe,Spell,,,,,,
6132,Abyssal Designator,Spell,,,,,,
6133,Level Up!,Spell,,,,,,
6134,Inferno Fire Blast,Spell,,,,,,
6135,The Graveyard in the Fourth Dimension,Spell,,,,,,
6136,Two-Man Cell Battle,Spell,,,,,,
6137,Big Wave Small Wave,Spell,,,,,,
6138,Fusion Weapon,Spell,,,,,,
6139,Ritual Weapon,Spell,,,,,,
6158,Tricky's Magic 4,Spell,,,,,,
6169,Magician's Unite,Spell,,,,,,
6206,Serial Spell,Spell,,,,,,
6207,Harpies' Hunting Ground,Spell,,,,,,
6208,Triangle Ecstasy Spark,Spell,,,,,,
6209,Necklace of Command,Spell,,,,,,
6210,Flint,Spell,,,,,,
6211,Mokey Mokey Smackdown,Spell,,,,,,
6212,Back to Square One,Spell,,,,,,
6213,Monster Reincarnation,Spell,,,,,,
6214,Ballista of Rampart Smashing,Spell,,,,,,
6215,Lighten the Load,Spell,,,,,,
6216,Malice Dispersion,Spell,,,,,,
6231,Owner's Seal,Spell,,,,,,
6266,A Feather of the Phoenix,Spell,,,,,,
6267,Poison Fangs,Spell,,,,,,
6268,Swords of Concealing Light,Spell,,,,,,
6269,Spiral Spear Strike,Spell,,,,,,
6270,Release Restraint,Spell,,,,,,
6271,Centrifugal Field,Spell,,,,,,
6272,Fulfillment of the Contract,Spell,,,,,,
6273,Re-Fusion,Spell,,,,,,
6274,The Big March of Animals,Spell,,,,,,
6288,Union Attack,Spell,,,,,,
6291,Overpowering Eye,Spell,,,,,,
6346,Gift of the Martyr,Spell,,,,,,
6347,Double Attack,Spell,,,,,,
6348,Battery Charger,Spell,,,,,,
6349,Kaminote Blow,Spell,,,,,,
6350,Doriado's Blessing,Spell,,,,,,
6351,Final Ritual of the Ancients,Spell,,,,,,
6352,Legendary Black Belt,Spell,,,,,,
6353,Nitro Unit,Spell,,,,,,
6354,Shifting Shadows,Spell,,,,,,
6355,Impenetrable Formation,Spell,,,,,,
6398,Power Bond,Spell,,,,,,
6399,Skyscraper,Spell,,,,,,
6407,Transcendent Wings,Spell,,,,,,
6408,Bubble Shuffle,Spell,,,,,,
6409,Spark Blaster,Spell,,,,,,
6431,Fusion Recovery,Spell,,,,,,
6432,Miracle Fusion,Spell,,,,,,
6433,Dragon's Mirror,Spell,,,,,,
6434,System Down,Spell,,,,,,
6435,Des Croaking,Spell,,,,,,
6436,Pot of Generosity,Spell,,,,,,
6437,Shien's Spy,Spell,,,,,,
6458,Divine Sword - Phoenix Blade,Spell,,,,,,
6468,Level Modulation,Spell,,,,,,
6469,Ojamuscle,Spell,,,,,,
6470,Ojamagic,Spell,,,,,,
6489,Chthonian Alliance,Spell,,,,,,
6491,Feather Shot,Spell,,,,,,
6492,Bonding - H2O,Spell,,,,,,
6511,Pot of Avarice,Spell,,,,,,
6512,Dark World Lightning,Spell,,,,,,
6513,Branch!,Spell,,,,,,
6514,Boss Rush,Spell,,,,,,
6515,Gateway to Dark World,Spell,,,,,,
6524,Armed Changer,Spell,,,,,,
6532,Magical Blast,Spell,,,,,,
6536,Burst Return,Spell,,,,,,
6537,Bubble Blaster,Spell,,,,,,
6538,Bubble Illusion,Spell,,,,,,
6541,Magical Mallet,Spell,,,,,,
6542,Inferno Reckless Summon,Spell,,,,,,
6543,Ring of Defense,Spell,,,,,,
6546,Mistobody,Spell,,,,,,
6571,Hero Heart,Spell,,,,,,
6572,Magnet Circle LV2,Spell,,,,,,
6573,Ancient Gear Factory,Spell,,,,,,
6574,Ancient Gear Drill,Spell,,,,,,
6575,Phantasmal Martyrs,Spell,,,,,,
6576,Cyclone Boomerang,Spell,,,,,,
6577,Photon Generator Unit,Spell,,,,,,
6578,Ancient Gear Castle,Spell,,,,,,
6615,Symbol of Heritage,Spell,,,,,,
6616,Trial of the Princesses,Spell,,,,,,
6617,End of the World,Spell,,,,,,
6618,Samsara,Spell,,,,,,
6636,The Flute of Summoning Kuriboh,Spell,,,,,,
6642,Canyon,Spell,,,,,,
6667,Guard Penalty,Spell,,,,,,
6668,Clock Tower Prison,Spell,,,,,,
6669,Misfortune,Spell,,,,,,
6670,Grand Convergence,Spell,,,,,,
6671,H - Heated Heart,Spell,,,,,,
6672,E - Emergency Call,Spell,,,,,,
6673,R - Righteous Justice,Spell,,,,,,
6674,O - Oversoul,Spell,,,,,,
6675,HERO Flash!!,Spell,,,,,,
6705,Celestial Transformation,Spell,,,,,,
6706,Power Capsule,Spell,,,,,,
6707,Dimensional Fissure,Spell,,,,,,
6748,Vehicroid Connection Zone,Spell,,,,,,
6758,Dark City,Spell,,,,,,
6759,Mausoleum of the Emperor,Spell,,,,,,
6762,D - Spirit,Spell,,,,,,
6774,Contact,Spell,,,,,,
6775,Neo Space,Spell,,,,,,
6779,Fake Hero,Spell,,,,,,
6780,Common Soul,Spell,,,,,,
6781,Spell Calling,Spell,,,,,,
6782,Future Fusion,Spell,,,,,,
6783,Overload Fusion,Spell,,,,,,
6814,Cyclone Blade,Spell,,,,,,
6819,Big Evolution Pill,Spell,,,,,,
6822,Tail Swipe,Spell,,,,,,
6823,Jurassic World,Spell,,,,,,
4335,Dragon Capture Jar,Trap,,,,,,
4355,Spellbinding Circle,Trap,,,,,,
4657,Kunai with Chain,Trap,,,,,,
4664,Metalmorph,Trap,,,,,,
4667,Crush Card Virus,Trap,,,,,,
4675,Shadow Spell,Trap,,,,,,
4687,House of Adhesive Tape,Trap,,,,,,
4688,Eatgaboon,Trap,,,,,,
4691,Acid Trap Hole,Trap,,,,,,
4692,Widespread Ruin,Trap,,,,,,
4693,Goblin Fan,Trap,,,,,,
4694,Bad Reaction to Simochi,Trap,,,,,,
4695,Reverse Trap,Trap,,,,,,
4794,Time Machine,Trap,,,,,,
4799,Gorgon's Eye,Trap,,,,,,
4804,Negate Attack,Trap,,,,,,
4808,Lightforce Sword,Trap,,,,,,
4813,Chain Destruction,Trap,,,,,,
4816,Skull Dice,Trap,,,,,,
4823,Tragedy,Trap,,,,,,
4834,Magical Arm Shield,Trap,,,,,,
4836,Trap Hole,Trap,,,,,,
4839,Two-Pronged Attack,Trap,,,,,,
4849,Reinforcements,Trap,,,,,,
4850,Castle Walls,Trap,,,,,,
4851,Ultimate Offering,Trap,,,,,,
4853,White Hole,Trap,,,,,,
4854,Call of the Grave,Trap,,,,,,
4855,Anti Raigeki,Trap,,,,,,
4859,Call of the Dark,Trap,,,,,,
4861,Solemn Judgment,Trap,,,,,,
4862,Magic Jammer,Trap,,,,,,
4863,Seven Tools of the Bandit,Trap,,,,,,
4864,Horn of Heaven,Trap,,,,,,
4865,Just Desserts,Trap,,,,,,
4866,Royal Decree,Trap,,,,,,
4870,Magical Thorn,Trap,,,,,,
4876,Robbin' Goblin,Trap,,,,,,
4886,Waboku,Trap,,,,,,
4887,Mirror Force,Trap,,,,,,
4892,Gryphon Wing,Trap,,,,,,
4903,Fairy's Hand Mirror,Trap,,,,,,
4912,Snake Fang,Trap,,,,,,
4939,Michizure,Trap,,,,,,
4940,Gust,Trap,,,,,,
4941,Driving Snow,Trap,,,,,,
4942,Armored Glass,Trap,,,,,,
4943,World Suppression,Trap,,,,,,
4944,Mystic Probe,Trap,,,,,,
4945,Metal Detector,Trap,,,,,,
4946,Numinous Healer,Trap,,,,,,
4947,Appropriate,Trap,,,,,,
4948,Forced Requisition,Trap,,,,,,
4949,Minor Goblin Official,Trap,,,,,,
4950,Gamble,Trap,,,,,,
4951,DNA Surgery,Trap,,,,,,
4952,The Regulation of Tribe,Trap,,,,,,
4953,Backup Soldier,Trap,,,,,,
4954,Attack and Receive,Trap,,,,,,
4955,Major Riot,Trap,,,,,,
4956,Ceasefire,Trap,,,,,,
4957,Light of Intervention,Trap,,,,,,
4958,Respect Play,Trap,,,,,,
4960,Imperial Order,Trap,,,,,,
4961,Skull Invitation,Trap,,,,,,
4962,Magical Hats,Trap,,,,,,
4984,Time Seal,Trap,,,,,,
4985,Graverobber,Trap,,,,,,
4986,Gift of The Mystical Elf,Trap,,,,,,
4987,The Eye of Truth,Trap,,,,,,
4988,Dust Tornado,Trap,,,,,,
4989,Call of the Haunted,Trap,,,,,,
4990,Solomon's Lawbook,Trap,,,,,,
4991,Earthshaker,Trap,,,,,,
4992,Enchanted Javelin,Trap,,,,,,
4993,Mirror Wall,Trap,,,,,,
5001,Windstorm of Etaqua,Trap,,,,,,
5005,Ring of Destruction,Trap,,,,,,
5006,Aqua Chorus,Trap,,,,,,
5008,Anti-Spell Fragrance,Trap,,,,,,
5102,Mask of Weakness,Trap,,,,,,
5106,Mask of Restrict,Trap,,,,,,
5111,Tornado Wall,Trap,,,,,,
5112,Infinite Dismissal,Trap,,,,,,
5113,Fairy Box,Trap,,,,,,
5114,Torrential Tribute,Trap,,,,,,
5122,Jam Defender,Trap,,,,,,
5124,Magic Cylinder,Trap,,,,,,
5125,Solemn Wishes,Trap,,,,,,
5130,Shift,Trap,,,,,,
5133,Magic Drain,Trap,,,,,,
5134,Gravity Bind,Trap,,,,,,
5135,Shadow of Eyes,Trap,,,,,,
5153,Type Zero Magic Crusher,Trap,,,,,,
5179,Defense Maiden,Trap,,,,,,
5183,Dark Scorpion Retreat,Trap,,,,,,
5210,Jar of Greed,Trap,,,,,,
5224,Destiny Board,Trap,,,,,,
5227,Dark Spirit of the Silent,Trap,,,,,,
5232,Judgment of Anubis,Trap,,,,,,
5234,Embodiment of Apophis,Trap,,,,,,
5261,Collected Power,Trap,,,,,,
5262,Royal Command,Trap,,,,,,
5263,Riryoku Field,Trap,,,,,,
5264,Skull Lair,Trap,,,,,,
5265,Graverobber's Retribution,Trap,,,,,,
5266,Deal of Phantom,Trap,,,,,,
5267,Destruction Punch,Trap,,,,,,
5268,Blind Destruction,Trap,,,,,,
5269,The Emperor's Holiday,Trap,,,,,,
5286,Amazoness Archers,Trap,,,,,,
5287,Rope of Life,Trap,,,,,,
5298,Nightmare Wheel,Trap,,,,,,
5299,Dramatic Rescue,Trap,,,,,,
5310,Bark of Dark Ruler,Trap,,,,,,
5311,Fatal Abacus,Trap,,,,,,
5312,Life Absorbing Machine,Trap,,,,,,
5314,Soul Demolition,Trap,,,,,,
5331,Ready for Intercepting,Trap,,,,,,
5332,A Feint Plan,Trap,,,,,,
5342,The Dragon's Bead,Trap,,,,,,
5347,Dragon's Rage,Trap,,,,,,
5348,Burst Breath,Trap,,,,,,
5358,De-Spell Germ Weapon,Trap,,,,,,
5360,Exchange of the Spirit,Trap,,,,,,
5365,Blast Held by a Tribute,Trap,,,,,,
5396,Blast with Chain,Trap,,,,,,
5397,Disappear,Trap,,,,,,
5398,Bubble Crash,Trap,,,,,,
5400,Bottomless Trap Hole,Trap,,,,,,
5401,Ominous Fortunetelling,Trap,,,,,,
5402,Spirit's Invitation,Trap,,,,,,
5403,Nutrient Z,Trap,,,,,,
5404,Drop Off,Trap,,,,,,
5405,Fiend Comedian,Trap,,,,,,
5406,Last Turn,Trap,,,,,,
5438,Tutan Mask,Trap,,,,,,
5439,Ordeal of a Traveler,Trap,,,,,,
5440,Bottomless Shifting Sand,Trap,,,,,,
5441,Curse of Royal,Trap,,,,,,
5442,Needle Ceiling,Trap,,,,,,
5443,Statue of the Wicked,Trap,,,,,,
5444,Dark Coffin,Trap,,,,,,
5445,Needle Wall,Trap,,,,,,
5446,Trap Dustshoot,Trap,,,,,,
5448,Reckless Greed,Trap,,,,,,
5473,Toon Defense,Trap,,,,,,
5490,Hidden Soldiers,Trap,,,,,,
5492,Coffin Seller,Trap,,,,,,
5493,Calamity of the Wicked,Trap,,,,,,
5497,Monster Relief,Trap,,,,,,
5542,Curse of Aging,Trap,,,,,,
5543,Barrel Behind the Door,Trap,,,,,,
5544,Raigeki Break,Trap,,,,,,
5546,Disturbance Strategy,Trap,,,,,,
5547,Trap of Board Eraser,Trap,,,,,,
5548,Rite of Spirit,Trap,,,,,,
5549,Non Aggression Area,Trap,,,,,,
5550,D. Tribe,Trap,,,,,,
5557,Rope of Spirit,Trap,,,,,,
5560,Interdimensional Matter Transporter,Trap,,,,,,
5574,Clone Duplication,Trap,,,,,,
5615,Huge Revolution,Trap,,,,,,
5616,Thunder of Ruler,Trap,,,,,,
5617,Spell Shield Type-8,Trap,,,,,,
5618,Meteorain,Trap,,,,,,
5619,Pineapple Blast,Trap,,,,,,
5620,Secret Barrel,Trap,,,,,,
5621,Physical Double,Trap,,,,,,
5623,Formation Union,Trap,,,,,,
5624,Adhesion Trap Hole,Trap,,,,,,
5627,Final Attack Orders,Trap,,,,,,
5668,Pitch-Black Power Stone,Trap,,,,,,
5679,Exhausting Spell,Trap,,,,,,
5680,Hidden Book of Spell,Trap,,,,,,
5681,Miracle Restoring,Trap,,,,,,
5683,Disarmament,Trap,,,,,,
5684,Anti-Spell,Trap,,,,,,
5685,The Spell Absorbing Life,Trap,,,,,,
5686,Metal Reflect Slime,Trap,,,,,,
5737,Staunch Defender,Trap,,,,,,
5738,Ojama Trio,Trap,,,,,,
5739,Arsenal Robber,Trap,,,,,,
5740,Skill Drain,Trap,,,,,,
5741,Really Eternal Rest,Trap,,,,,,
5753,Judgment of Pharaoh,Trap,,,,,,
5792,Altar for Tribute,Trap,,,,,,
5793,Frozen Soul,Trap,,,,,,
5794,Battle-Scarred,Trap,,,,,,
5795,Dark Scorpion Combination,Trap,,,,,,
5796,Archfiend's Roar,Trap,,,,,,
5797,Dice Re-Roll,Trap,,,,,,
5798,Spell Vanishing,Trap,,,,,,
5799,Sakuretsu Armor,Trap,,,,,,
5800,Ray of Hope,Trap,,,,,,
5851,Big Burn,Trap,,,,,,
5852,Blasting the Ruins,Trap,,,,,,
5853,Cursed Seal of the Forbidden Spell,Trap,,,,,,
5854,Tower of Babel,Trap,,,,,,
5855,Spatial Collapse,Trap,,,,,,
5856,Chain Disappearance,Trap,,,,,,
5857,Zero Gravity,Trap,,,,,,
5858,Dark Mirror Force,Trap,,,,,,
5859,Energy Drain,Trap,,,,,,
5912,Destruction Ring,Trap,,,,,,
5913,Fiend's Hand Mirror,Trap,,,,,,
5914,Compulsory Evacuation Device,Trap,,,,,,
5915,A Hero Emerges,Trap,,,,,,
5916,Self-Destruct Button,Trap,,,,,,
5917,Curse of Darkness,Trap,,,,,,
5918,"Begone, Knave!",Trap,,,,,,
5919,DNA Transplant,Trap,,,,,,
5920,Robbin' Zombie,Trap,,,,,,
5921,Trap Jammer,Trap,,,,,,
5935,Skull Zoma,Trap,,,,,,
5945,Sixth Sense,Trap,,,,,,
5986,Backfire,Trap,,,,,,
5987,Micro Ray,Trap,,,,,,
5988,Light of Judgment,Trap,,,,,,
5989,Talisman of Spell Sealing,Trap,,,,,,
5990,Wall of Revealing Light,Trap,,,,,,
5991,Solar Ray,Trap,,,,,,
5992,Ninjitsu Art of Transformation,Trap,,,,,,
5993,Beckoning Light,Trap,,,,,,
5994,Draining Shield,Trap,,,,,,
5995,Armor Break,Trap,,,,,,
6006,Corpse of Yata-Garasu,Trap,,,,,,
6010,Earthbound Spirit's Invitation,Trap,,,,,,
6063,The First Sarcophagus,Trap,,,,,,
6064,Dora of Fate,Trap,,,,,,
6066,Human-Wave Tactics,Trap,,,,,,
6067,Curse of Anubis,Trap,,,,,,
6068,Desert Sunlight,Trap,,,,,,
6069,Des Counterblow,Trap,,,,,,
6070,Labyrinth of Nightmare,Trap,,,,,,
6071,Soul Resurrection,Trap,,,,,,
6072,Order to Smash,Trap,,,,,,
6078,Return from the Different Dimension,Trap,,,,,,
6079,Pyramid of Light,Trap,,,,,,
6140,Taunt,Trap,,,,,,
6141,Absolute End,Trap,,,,,,
6142,Spirit Barrier,Trap,,,,,,
6143,Ninjitsu Art of Decoy,Trap,,,,,,
6144,Enervating Mist,Trap,,,,,,
6145,Heavy Slump,Trap,,,,,,
6146,Greed,Trap,,,,,,
6147,Mind Crush,Trap,,,,,,
6148,Cemetary Bomb,Trap,,,,,,
6149,Hallowed Life Barrier,Trap,,,,,,
6153,Stronghold the Moving Fortress,Trap,,,,,,
6159,Shattered Axe,Trap,,,,,,
6168,Magician's Circle,Trap,,,,,,
6217,Divine Wrath,Trap,,,,,,
6218,Xing Zhen Hu,Trap,,,,,,
6219,Rare Metalmorph,Trap,,,,,,
6220,Fruits of Kozaky's Studies,Trap,,,,,,
6221,Mind Haxorz,Trap,,,,,,
6222,Fuh-Rin-Ka-Zan,Trap,,,,,,
6223,Chain Burst,Trap,,,,,,
6224,Pikeru's Circle of Enchantment,Trap,,,,,,
6225,Spell Purification,Trap,,,,,,
6226,Astral Barrier,Trap,,,,,,
6227,Covering Fire,Trap,,,,,,
6275,Cross Counter,Trap,,,,,,
6277,Penalty Game!,Trap,,,,,,
6278,Threatening Roar,Trap,,,,,,
6279,Phoenix Wing Wind Blast,Trap,,,,,,
6280,Good Goblin Housekeeping,Trap,,,,,,
6281,Beast Soul Swap,Trap,,,,,,
6282,Assault on GHQ,Trap,,,,,,
6283,D.D. Dynamite,Trap,,,,,,
6284,Deck Devastation Virus,Trap,,,,,,
6285,Elemental Burst,Trap,,,,,,
6286,Forced Ceasefire,Trap,,,,,,
6356,Hero Signal,Trap,,,,,,
6357,Pikeru's Second Sight,Trap,,,,,,
6358,Minefield Eruption,Trap,,,,,,
6359,Kozaky's Self-Destruct Button,Trap,,,,,,
6360,Mispolymerization,Trap,,,,,,
6361,Level Conversion Lab,Trap,,,,,,
6362,Rock Bombardment,Trap,,,,,,
6364,Token Feastevil,Trap,,,,,,
6365,Spell-Stopping Statute,Trap,,,,,,
6366,Royal Surrender,Trap,,,,,,
6438,Fire Darts,Trap,,,,,,
6439,Spiritual Earth Art - Kurogane,Trap,,,,,,
6440,Spiritual Water Art - Aoi,Trap,,,,,,
6441,Spiritual Fire Art - Kurenai,Trap,,,,,,
6442,Spiritual Wind Art - Miyabi,Trap,,,,,,
6443,A Rival Appears!,Trap,,,,,,
6444,Magical Explosion,Trap,,,,,,
6445,Rising Energy,Trap,,,,,,
6446,D.D. Trap Hole,Trap,,,,,,
6447,Conscription,Trap,,,,,,
6448,Dimension Wall,Trap,,,,,,
6449,Prepare to Strike Back,Trap,,,,,,
6450,Triage,Trap,,,,,,
6493,Chthonian Polymer,Trap,,,,,,
6494,Chthonian Blast,Trap,,,,,,
6495,Hero Barrier,Trap,,,,,,
6496,Feather Wind,Trap,,,,,,
6516,The Forces of Darkness,Trap,,,,,,
6517,Dark Deal,Trap,,,,,,
6518,Simultaneous Loss,Trap,,,,,,
6519,Weed Out,Trap,,,,,,
6520,The League of Uniform Nomenclature,Trap,,,,,,
6521,Roll Out!,Trap,,,,,,
6522,Non-Fusion Area,Trap,,,,,,
6523,Level Limit - Area A,Trap,,,,,,
6528,Hero Ring,Trap,,,,,,
6539,Clay Charge,Trap,,,,,,
6544,The Grave of Enkindling,Trap,,,,,,
6580,Miracle Kids,Trap,,,,,,
6581,Attack Reflector Unit,Trap,,,,,,
6582,Damage Condenser,Trap,,,,,,
6583,Treasure Map,Trap,,,,,,
6584,Hero Spirit,Trap,,,,,,
6619,Karma Cut,Trap,,,,,,
6620,Next to be Lost,Trap,,,,,,
6621,Generation Shift,Trap,,,,,,
6622,Full Salvo,Trap,,,,,,
6623,Success Probability 0%,Trap,,,,,,
6624,Option Hunter,Trap,,,,,,
6625,Goblin Out of the Frying Pan,Trap,,,,,,
6626,Malfunction,Trap,,,,,,
6676,Elemental Recharge,Trap,,,,,,
6677,Destruction of Destiny,Trap,,,,,,
6678,D - Time,Trap,,,,,,
6679,Destiny Signal,Trap,,,,,,
6680,D - Shield,Trap,,,,,,
6681,Elemental Absorber,Trap,,,,,,
6682,Macro Cosmos,Trap,,,,,,
6708,Life Equalizer,Trap,,,,,,
6709,Icarus Attack,Trap,,,,,,
6710,Miraculous Descent,Trap,,,,,,
6711,Synthetic Seraphim,Trap,,,,,,
6712,Forced Back,Trap,,,,,,
6722,Hysteric Party,Trap,,,,,,
6737,Cyber Summon Blaster,Trap,,,,,,
6747,Supercharge,Trap,,,,,,
6749,Wonder Garage,Trap,,,,,,
6761,D - Chain,Trap,,,,,,
6763,Destiny Mirage,Trap,,,,,,
6808,Crop Circles,Trap,,,,,,
6809,The Paths of Destiny,Trap,,,,,,
6810,Orbital Bombardment,Trap,,,,,,
6811,Fossil Excavation,Trap,,,,,,
6812,Brainwashing Beam,Trap,,,,,,
6817,Hunting Instinct,Trap,,,,,,
6818,Survival Instinct,Trap,,,,,,
6824,Volcanic Eruption,Trap,,,,,,
6825,Seismic Shockwave,Trap,,,,,,
